id,ticker,currency,figi
1,AAPL,USD,BBG000B9Y5X2
2,AXP,USD,BBG000BCR153
3,BA,USD,BBG000BCSV38
4,CAT,USD,BBG000BF0LJ6
5,CSCO,USD,BBG000C3JBN9
6,CVX,USD,BBG000K4NHJ5
7,GE,USD,BBG000BK6PH2
8,GS,USD,BBG000C6CH10
9,HD,USD,BBG000BKZDM1
10,IBM,USD,BBG000BLNQ16
11,INTC,USD,BBG000C0GFS4
12,JNJ,USD,BBG000BMHZY5
13,JPM,USD,BBG000DMBZW1
14,KO,USD,BBG000BMX4N8
15,MCD,USD,BBG000BNT1L9
16,MMM,USD,BBG000BP5522
17,MRK,USD,BBG000BPD257
18,MSFT,USD,BBG000BPHFS9
19,NKE,USD,BBG000C5HTN7
20,PFE,USD,BBG000BR2F10
21,PG,USD,BBG000BR2WS4
22,TRV,USD,BBG000BJ82Q4
23,UNH,USD,BBG000CH53T5
24,UTX,USD,BBG000BW8TX8
25,V,USD,BBG000PSL0X0
26,VZ,USD,BBG000HS79Q4
27,WMT,USD,BBG000BWXCP6
28,XOM,USD,BBG000GZQBJ1
