tag,sequence
cashandequivalents,1
restrictedcash,2
shortterminvestments,3
notereceivable,4
accountsreceivable,5
netinventory,6
prepaidexpenses,7
currentdeferredtaxassets,8
othercurrentassets,9
othercurrentnonoperatingassets,10
totalcurrentassets,11
grossppe,12
accumulateddepreciation,13
netppe,14
longterminvestments,15
noncurrentnotereceivables,16
goodwill,17
intangibleassets,18
noncurrentdeferredtaxassets,19
employeebenefitassets,20
othernoncurrentassets,21
othernoncurrentnonoperatingassets,22
totalassets,24
shorttermdebt,25
accountspayable,26
accruedexpenses,27
customerdeposits,28
dividendspayable,29
currentdeferredrevenue,30
currentdeferredtaxliabilities,31
currentemployeebenefitliabilities,32
othertaxespayable,33
othercurrentliabilities,34
othercurrentnonoperatingliabilities,35
totalcurrentliabilities,36
longtermdebt,37
capitalleaseobligations,38
assetretirementandlitigationobligation,39
noncurrentdeferredrevenue,40
noncurrentdeferredtaxliabilities,41
noncurrentemployeebenefitliabilities,42
othernoncurrentliabilities,43
othernoncurrentnonoperatingliabilities,44
totalliabilities,46
commitmentsandcontingencies,47
redeemablenoncontrollinginterest,48
commonequity,50
retainedearnings,51
aoci,53
otherequity,54
totalcommonequity,55
totalequity,56
noncontrollinginterests,57
totalequityandnoncontrollinginterests,58
totalliabilitiesandequity,59
