,fiscal_year,fiscal_period,value
0,2010,q1,15683000000.0
1,2010,q2,13499000000.0
2,2010,q3,15700000000.0
3,2010,q4,20343000000.0
4,2011,q1,26741000000.0
5,2011,q2,24667000000.0
6,2011,q3,28571000000.0
7,2011,q4,28270000000.0
8,2012,q1,46333000000.0
9,2012,q2,39186000000.0
10,2012,q3,35023000000.0
11,2012,q4,35966000000.0
12,2013,q1,54512000000.0
13,2013,q2,43603000000.0
14,2013,q3,35323000000.0
15,2013,q4,37472000000.0
16,2014,q1,57594000000.0
17,2014,q2,45646000000.0
18,2014,q3,37432000000.0
19,2014,q4,42123000000.0
20,2015,q1,74599000000.0
21,2015,q2,58010000000.0
22,2015,q3,49605000000.0
23,2015,q4,51501000000.0
24,2016,q1,75872000000.0
25,2016,q2,50557000000.0
26,2016,q3,42358000000.0
27,2016,q4,46852000000.0
28,2017,q1,78351000000.0
29,2017,q2,52896000000.0
30,2017,q3,45408000000.0
31,2017,q4,52579000000.0
32,2018,q1,88293000000.0
33,2018,q2,61137000000.0
34,2018,q3,53265000000.0
35,2018,q4,62900000000.0
